player_name,club,position,assists,corner_taken,offsides,dribbles,total_attempts,on_target,off_target,blocked,balls_recoverd,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,red,yellow,pass_attempted,pass_completed,cross_attempted,cross_complted,freekicks_taken,match_played,saved,conceded,saved_penalties,cleansheets,punches made,goals,goals_right_foot,goals_left_foot,goals_headers,goals_others,goals_inside_area,goals_outside_areas,penalties,minutes_played,match_played,distance_covered
Verissimo,Benfica,Defender,0,0,0,0,2,0,2,0,23,1,1,11,2,1,1,0,111,93,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,270,3,30.2
Morato,Benfica,Defender,0,0,0,0,1,1,0,0,10,1,1,5,1,0,0,0,134,121,0,0,2,2,0,0,0,0,0,1,0,0,1,0,1,0,0,180,2,19.6
André Almeida,Benfica,Defender,0,0,0,0,0,0,0,0,15,2,4,8,2,5,0,0,103,82,3,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,236,5,29.6
Rafa Silva,Benfica,Forward,1,0,3,27,9,1,4,4,21,6,6,1,8,14,2,0,187,145,8,3,2,9,0,0,0,0,0,1,1,0,0,0,1,0,0,704,9,85.7
Gonçalo Ramos,Benfica,Forward,1,0,0,4,10,2,4,4,14,0,0,2,8,6,2,0,101,76,0,0,1,7,0,0,0,0,0,1,1,0,0,0,1,0,0,369,7,52.1
Yaremchuk,Benfica,Forward,0,0,0,0,15,9,5,1,2,2,3,2,2,13,2,0,103,71,1,0,0,10,0,0,0,0,0,3,0,2,1,0,3,0,0,514,10,66.5
Núñez,Benfica,Forward,0,0,0,0,15,8,7,0,10,2,2,7,6,7,1,0,117,67,18,4,2,10,0,0,0,0,0,6,5,0,1,0,6,0,1,613,10,72.4
Everton,Benfica,Forward,0,0,0,0,9,4,4,1,13,5,2,2,6,9,0,0,115,87,9,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,543,9,67.1
Seferović,Benfica,Forward,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1.8
Radonjić,Benfica,Forward,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,3.9
Vlachodimos,Benfica,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,247,0,0,52,0,38,17,1,5,5,0,0,0,0,0,0,0,0,900,10,55.4
João Mário,Benfica,Midfielder,4,8,0,7,1,1,0,0,18,2,4,2,13,13,2,0,268,242,10,4,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,493,8,66
Pizzi,Benfica,Midfielder,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,61,43,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,6,21.2
Diogo Gonçalves,Benfica,Midfielder,0,0,0,0,2,1,1,0,6,1,1,4,0,0,0,0,42,35,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,5,18
Weigl,Benfica,Midfielder,0,0,0,0,2,1,0,1,35,12,11,12,10,5,2,0,351,316,3,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,810,9,112
